net,length_um
_0255_,902.495
_0021_,900.77
_0037_,879.845
_0054_,873.76
_0081_,871.48
_0159_,870.46
net10,846.48
_0647_,840.1
_0060_,827.9
_0352_,817.99
net7,809.12
_0266_,808.52
_0599_,808.11
_0298_,788.685
_0080_,783.36
_0363_,778.12
_0640_,774.7
_0272_,758.1
_0389_,752.94
net12,751.6
_0059_,751.1
_0288_,745.94
_0003_,741.54
_0135_,739.375
_0175_,738.41
_0016_,730.52
_0113_,724.875
_0067_,719.505
_0290_,715.56
_0034_,706.78
net4,695.9
_0030_,693.71
_0157_,681.13
_0503_,679.28
_0139_,677.46
_0165_,675.09
_0020_,673.04
_0167_,667.71
_0119_,655.94
_0309_,655.12
net3,650.16
net19,648.775
net8,645.555
net16,644.45
_0090_,629.36
_0047_,629.24
_0019_,628.99
_0172_,626.44
net1,624.52
_0373_,619.5
_0112_,615.52
_0559_,615.05
_0277_,610.68
_0043_,605.8
_0070_,605.75
_0372_,599.77
_0347_,585.815
net17,583
_0082_,580.81
_0160_,578.88
_0588_,578.08
_0584_,577.82
net18,575.03
_0308_,573.62
net11,570.96
_0264_,563.46
_0371_,560.16
_0271_,558.18
_0610_,556.86
_0183_,554.59
_0169_,551.95
_0029_,539.22
_0392_,536.88
_0471_,535.03
net55,529.42
_0275_,525.94
_0201_,522.68
_0276_,520.37
_0071_,517.78
_0551_,517.34
_0096_,516.07
_0238_,514.68
_0292_,514.39
net2,512.62
_0232_,506.53
_0094_,504.85
_0173_,504.81
_0095_,502.96
_0190_,501.78
_0042_,498.2
_0202_,497.94
_0428_,497.26
_0285_,496.74
_0179_,494.86
_0178_,494.68
_0514_,490.66
_0193_,489.16
_0103_,488.32
_0189_,487.88
_0000_,487.83
_0064_,485.23
net42,478.7
_0544_,475.91
net13,474.82
_0637_,474.74
_0168_,473.42
net6,468.265
_0009_,466.21
_0611_,465.13
_0085_,464.38
_0483_,459.21
_0213_,456.26
_0026_,455.695
_0146_,454.14
_0346_,451.93
_0595_,450.1
_0622_,449.56
_0511_,449.46
_0385_,449.32
_0653_,447.85
_0598_,447.46
_0258_,447.36
_0084_,447.18
_0542_,446.31
_0576_,445.87
net21,444.56
_0273_,444.36
_0453_,443.82
_0092_,443.78
_0349_,442.6
net37,442.28
_0443_,441.12
_0256_,439.62
_0225_,439.17
_0331_,438.86
_0642_,438.56
_0295_,438.28
_0191_,437.63
net36,435.83
_0293_,434.46
_0068_,434.16
_0236_,433.6
_0079_,433.49
_0417_,432.14
_0341_,431.87
_0284_,431.39
_0199_,426.06
_0313_,425.61
_0609_,425.27
_0375_,424.905
_0013_,424.77
_0046_,424.5
_0543_,423.97
_0406_,423.54
_0575_,422.7
_0520_,421.86
_0127_,418.02
_0303_,417.73
_0449_,417.4
_0420_,416.38
_0345_,415.18
net44,414.2
_0132_,413.92
_0217_,413.24
_0210_,412.38
_0267_,412.2
_0358_,412.03
_0515_,409.48
_0450_,408.85
_0140_,408.375
_0475_,407.7
_0473_,406.05
_0336_,404.54
net23,402.62
_0279_,402.31
_0219_,402.1
_0545_,401.98
_0187_,400.31
net56,400.22
_0531_,400.04
_0580_,399.46
_0259_,398.16
_0421_,397.3
_0310_,396.1
_0439_,396.02
_0171_,394.9
_0332_,394.16
_0468_,392.86
_0519_,392.36
_0061_,391.32
_0214_,391.2
_0567_,390.72
_0635_,389.74
_0078_,389.1
_0356_,388.7
_0552_,388.01
_0530_,386.56
_0018_,386.04
_0431_,384.84
_0339_,384.52
_0434_,384.22
_0318_,380.83
_0185_,378.99
_0291_,378.98
net27,378.54
_0328_,377.94
_0014_,377.46
_0472_,376.985
_0240_,376.13
_0110_,375.98
_0529_,375.3
_0243_,375.21
_0561_,374.41
_0564_,374.06
net50,373.81
_0231_,373.74
_0045_,373.34
_0280_,372.85
_0618_,371.71
_0254_,371.23
_0487_,371.2
_0134_,370.42
_0076_,368.87
_0117_,368.36
_0507_,367.58
_0554_,366.64
_0374_,365.86
_0180_,365.69
_0055_,364.89
_0004_,364.44
_0005_,363.9
_0241_,363.78
_0382_,363.46
_0327_,358.42
_0323_,356.68
_0337_,356.5
_0539_,355.5
_0536_,355.23
_0087_,355.14
_0537_,354.79
_0390_,353.6
_0270_,353.38
_0360_,352.49
_0215_,352.02
net9,351.48
_0357_,351.095
_0228_,349.84
_0395_,349.5
_0577_,349.1
_0391_,348.78
_0015_,348.58
_0066_,347.54
_0265_,347.47
_0097_,347.07
_0204_,347.05
_0477_,346.66
_0569_,346.36
net14,345.82
_0432_,345.42
net49,345.23
_0289_,344.2
_0063_,343.04
_0399_,342.96
_0056_,342.82
_0474_,341.56
_0057_,341.38
_0319_,341.15
net41,339.46
_0416_,338.28
_0230_,336.7
_0465_,336.59
_0604_,336.57
_0563_,336.395
_0562_,335.58
net30,334.85
_0306_,334.6
_0574_,334.36
_0101_,334.34
net26,334.24
_0510_,333.58
_0248_,332.76
_0403_,332.6
_0138_,332.28
_0612_,331.8
_0354_,330.88
_0355_,330.72
net38,330.3
_0362_,330.06
_0227_,330.05
_0278_,329.85
_0109_,329.8
_0505_,328.82
_0571_,328.66
_0186_,328.36
_0460_,328.32
_0566_,328.1
