net,length_um
_0380_,1253.84
_0360_,1216.4
_0081_,1204.91
_0064_,1204.18
_0080_,1181.275
B[0],1164.01
_0066_,1140.31
_0329_,1131.32
_0023_,1097.62
_0097_,1082.18
B[1],1075.09
_0062_,1073.02
_0267_,1066.37
_0063_,1061.505
_0306_,1053.67
_0656_,1052.025
_0338_,1033.62
_0083_,1032.08
_0027_,1031.64
_0084_,1013.565
A[6],1013.53
_0037_,1002.03
B[7],1000.575
_0120_,998.675
_0000_,994.44
_0414_,994.335
_0349_,989.87
_0010_,988.12
op[0],974.53
_0138_,968.03
_0177_,958.9
B[5],940.52
_0373_,924.625
A[4],923.35
_0392_,921.005
_0295_,915.22
_0328_,911.8
A[0],909.9
_0032_,908
op[1],900.13
op[2],896.01
_0283_,895.1
_0330_,886.865
B[6],886.03
_0163_,868.38
_0425_,866.3
A[7],855.85
_0317_,845.24
_0216_,844.18
_0658_,839.08
_0596_,832.32
_0096_,831.235
A[5],820.765
_0309_,813.97
_0119_,802.38
B[2],797.82
_0499_,793.85
_0465_,789.21
_0172_,784.72
_0305_,783.2
_0019_,773.16
_0185_,772.71
_0532_,770.12
_0005_,762.67
_0382_,754
_0176_,752.02
_0094_,752
_0642_,751.02
_0101_,743.09
_0249_,735.42
_0130_,733.875
A[1],724.75
_0170_,715.165
_0315_,712.34
_0522_,710.44
_0468_,709.17
_0480_,706.6
_0174_,706.18
_0139_,706.16
_0230_,699.1
_0195_,698.26
_0160_,694.94
_0625_,693.58
B[3],690.46
_0085_,687.26
_0257_,686.56
_0646_,685.18
_0268_,681.84
_0026_,680.42
_0057_,675.26
_0395_,673.05
Y[2],664.97
_0415_,664.455
_0310_,662.14
_0168_,657.82
_0258_,657.37
_0641_,646.97
B[4],641.46
_0110_,637.535
_0564_,634.58
_0585_,634.01
_0546_,633.29
_0181_,630.41
_0602_,629.01
_0108_,627.42
_0282_,625.48
_0613_,625.12
A[3],623.61
_0311_,623.43
_0466_,620.92
_0599_,619.7
Y[0],618.83
_0020_,617.34
_0518_,613.88
_0508_,613.19
_0584_,608.35
_0162_,605.825
_0479_,605.07
_0006_,602.29
A[2],599.23
_0608_,597.02
_0371_,596.06
_0489_,595.91
_0554_,594.14
_0417_,592.36
_0038_,591.5
_0223_,590.93
_0224_,590.12
_0603_,589.845
_0263_,589.75
_0104_,589.66
_0124_,589.06
_0619_,587.88
_0189_,587.61
_0535_,585.67
_0167_,585.38
_0253_,584.58
