net,length_um
_0281_,1610.77
_0279_,1551.255
_0317_,1539.66
_0289_,1528
_0495_,1488.62
_0299_,1455.715
_0285_,1453.8
_0308_,1451.82
_0490_,1449.02
_0269_,1448.645
_0504_,1446.785
_0263_,1435.24
_0287_,1421.36
_0271_,1411.4
_0293_,1408.95
_0341_,1407.38
_0518_,1402.475
_0313_,1396.715
_0498_,1395.975
_0535_,1390.385
_0537_,1390.38
data_in[1],1384.065
_0297_,1375.94
_0494_,1371.66
_0492_,1366.785
_0496_,1365.19
_0488_,1355.57
_0507_,1354.34
_0483_,1348.98
_0553_,1347.135
_0521_,1327.23
_0304_,1323.41
_0397_,1311.86
_0500_,1310.04
_0291_,1299.19
_0543_,1286.715
_0532_,1286.44
_0348_,1285.48
_0300_,1269.67
_0295_,1268.88
_0555_,1266.84
_0288_,1266.4
_0550_,1263.24
_0548_,1263.05
data_in[5],1260.715
_0296_,1245.67
_0364_,1234.94
_0352_,1234.68
_0530_,1230.595
_0514_,1222.3
_0519_,1206.28
_0545_,1205.555
_0336_,1192.69
_0273_,1191.075
_0520_,1189.93
data_in[2],1189.17
_0502_,1185.08
_0536_,1183.7
_0292_,1181.76
_0493_,1171.56
_0350_,1170.27
data_in[0],1168.15
_0265_,1167.16
data_in[7],1164.29
_0501_,1153.295
_0513_,1152.77
_0503_,1152.535
_0314_,1151.84
_0506_,1148.9
data_in[3],1142.94
_0310_,1142.32
address[3],1142.1
_0554_,1141.275
_0489_,1139.44
_0316_,1138.69
_0303_,1137
_0290_,1132.3
_0485_,1128.51
_0319_,1121.94
_0286_,1119.55
_0505_,1118.14
_0510_,1117.16
_0377_,1114.32
_0284_,1113.22
_0359_,1112.44
_0542_,1108.635
_0499_,1103.46
_0556_,1100.42
_0370_,1093.9
data_in[11],1093.82
_0527_,1090.92
_0515_,1077.94
_0258_,1074.96
_0497_,1070.02
_0259_,1068.18
_0525_,1061.09
data_in[14],1059.13
_0274_,1036.575
_0559_,1035.605
data_in[8],1034.95
_0509_,1033.49
data_in[12],1033.43
_0276_,1030.46
data_in[13],1019.42
_0320_,1011.91
_0534_,1008.915
_0305_,1004.86
data_in[6],998.61
_0260_,996.04
_0491_,983.82
_0262_,981.995
_0309_,981.93
_0487_,980.435
_0523_,977.27
_0517_,971.57
_0302_,966.24
_0524_,966.22
_0561_,961.32
_0512_,960.36
_0526_,957.32
we,953.7
_0540_,951.63
data_in[10],934.99
_0257_,927.35
_0547_,925.63
_0275_,925.46
_0280_,922.16
_0560_,910.78
_0544_,906.7
data_in[15],904.43
_0558_,897.76
_0270_,883.64
_0278_,873.21
_0311_,866.32
regs\[8\]\[7\],858.56
_0538_,857.66
_0193_,853.88
data_in[9],848.47
regs\[7\]\[0\],842
_0549_,839.255
regs\[1\]\[1\],836.12
address[0],834.26
regs\[4\]\[2\],829.73
regs\[12\]\[3\],823.8
regs\[10\]\[7\],815.5
regs\[3\]\[8\],814.78
_0551_,802.74
clknet_0_clk,797.13
_0087_,795.81
regs\[5\]\[6\],780.74
regs\[12\]\[9\],771.65
regs\[13\]\[5\],771.27
regs\[13\]\[9\],769.45
regs\[4\]\[1\],769.4
regs\[14\]\[5\],764.32
regs\[0\]\[13\],760.25
_0191_,746.21
_0484_,746.12
regs\[4\]\[9\],737.26
regs\[10\]\[6\],735.36
data_out[12],731.69
regs\[5\]\[11\],727.18
regs\[6\]\[9\],726.63
data_in[4],722.18
regs\[12\]\[15\],721.98
regs\[10\]\[12\],718.95
regs\[7\]\[14\],712.13
regs\[15\]\[1\],708.62
regs\[10\]\[3\],708.51
regs\[4\]\[14\],696.41
regs\[14\]\[10\],696.155
clknet_3_5_0_clk,693.08
regs\[12\]\[7\],691.57
regs\[6\]\[11\],691.16
regs\[6\]\[8\],689.16
regs\[6\]\[14\],685.08
regs\[4\]\[11\],676.91
_0065_,676.045
regs\[8\]\[6\],675.06
regs\[7\]\[11\],672.65
regs\[7\]\[15\],668.19
regs\[10\]\[4\],667.8
regs\[0\]\[14\],667.68
_0264_,662.84
regs\[7\]\[13\],660.82
regs\[3\]\[9\],658.22
_0389_,657.4
_0360_,657.215
regs\[11\]\[14\],655.38
_0151_,651.995
regs\[0\]\[1\],650.75
_0203_,649.395
_0107_,648.62
_0042_,648.575
regs\[6\]\[12\],642.41
regs\[12\]\[13\],641.77
_0268_,641.63
_0529_,640.71
regs\[15\]\[11\],640.04
clknet_3_3_0_clk,639.315
_0138_,638.065
regs\[13\]\[14\],635.83
regs\[1\]\[10\],634.715
regs\[11\]\[6\],634.54
_0334_,634.46
_0115_,632.16
_0267_,630.88
clknet_3_4_0_clk,630.22
clknet_3_1_0_clk,629.755
_0073_,629.39
regs\[1\]\[11\],627.84
_0237_,626.53
_0394_,625.92
regs\[7\]\[9\],625.1
_0528_,624.58
regs\[5\]\[10\],624.4
regs\[4\]\[15\],623.67
regs\[13\]\[2\],621.49
regs\[3\]\[12\],620.36
regs\[7\]\[12\],620.24
regs\[13\]\[3\],619.22
_0256_,619.04
_0133_,615.435
regs\[1\]\[13\],611.38
_0079_,610.345
rst,610.21
_0452_,608.05
regs\[10\]\[15\],607.94
regs\[14\]\[12\],603.88
clknet_3_6_0_clk,603.44
data_out[8],602.35
_0216_,602.345
regs\[2\]\[14\],600.36
_0231_,596.18
regs\[0\]\[2\],595.69
clknet_3_0_0_clk,595.48
regs\[11\]\[12\],595.14
regs\[4\]\[8\],594.96
regs\[0\]\[4\],588.85
regs\[7\]\[4\],584.36
regs\[11\]\[10\],582.88
regs\[4\]\[13\],579.93
regs\[9\]\[6\],579.66
regs\[6\]\[6\],577.15
regs\[7\]\[7\],575.08
regs\[10\]\[10\],573.55
regs\[14\]\[9\],573.02
_0371_,572.02
_0321_,571.6
_0228_,571.06
clknet_3_7_0_clk,568.49
_0372_,568.46
_0464_,567.715
_0531_,565.02
regs\[2\]\[6\],564.04
regs\[3\]\[5\],563.86
_0006_,562.58
regs\[9\]\[3\],561.58
regs\[15\]\[4\],561.03
regs\[9\]\[10\],560.44
regs\[5\]\[4\],560.18
regs\[0\]\[9\],559.89
_0233_,559.64
_0058_,557.415
regs\[8\]\[10\],555.95
_0159_,554.365
_0224_,553.465
regs\[4\]\[3\],551.86
regs\[8\]\[3\],551.5
_0266_,550.5
data_out[4],549.23
regs\[15\]\[9\],549.01
regs\[8\]\[4\],547.86
regs\[1\]\[5\],547.62
_0476_,546.58
_0126_,544.365
_0342_,543.38
address[2],542.125
regs\[9\]\[2\],541.2
regs\[3\]\[13\],535.61
_0018_,534.66
regs\[4\]\[0\],534.6
regs\[1\]\[0\],534.49
_0516_,531.94
_0051_,530.72
regs\[13\]\[8\],528.4
regs\[2\]\[3\],527.23
_0029_,527.16
regs\[0\]\[10\],526.36
regs\[7\]\[2\],526.32
_0508_,525.36
_0378_,524.96
regs\[3\]\[1\],524.56
_0481_,524.06
regs\[9\]\[12\],523.28
_0326_,520.92
regs\[13\]\[15\],519.82
regs\[10\]\[13\],519.35
_0114_,518.185
regs\[15\]\[5\],517.28
regs\[5\]\[12\],515.19
_0241_,511.92
_0243_,511.78
_0172_,510.485
regs\[14\]\[4\],509.9
regs\[9\]\[14\],509.73
regs\[12\]\[0\],509.38
regs\[2\]\[0\],508.98
_0380_,508.43
regs\[13\]\[4\],508.36
regs\[1\]\[9\],507.61
regs\[8\]\[2\],506.23
regs\[3\]\[7\],505.04
regs\[10\]\[2\],504.56
regs\[2\]\[9\],504.1
regs\[12\]\[1\],503.52
regs\[2\]\[8\],502.9
regs\[11\]\[5\],502.58
_0063_,502.04
_0434_,501.64
regs\[2\]\[13\],499.93
regs\[12\]\[10\],499.07
_0060_,499.065
_0174_,498.265
regs\[15\]\[0\],497.54
regs\[14\]\[11\],497
regs\[9\]\[15\],496.16
regs\[13\]\[7\],495.78
regs\[12\]\[11\],495.74
_0148_,494.9
regs\[14\]\[2\],493.98
regs\[11\]\[11\],492.28
_0121_,489.325
address[1],489.27
_0367_,488.49
regs\[11\]\[1\],487.76
regs\[11\]\[13\],487.64
_0017_,487.22
regs\[3\]\[0\],485.24
_0003_,483.805
_0097_,483.785
regs\[7\]\[8\],482.76
regs\[14\]\[0\],482.47
_0176_,482.04
regs\[8\]\[9\],480.96
regs\[15\]\[12\],480.4
regs\[5\]\[14\],480.28
_0298_,479.74
_0016_,478.685
clk,478.47
_0277_,477.47
regs\[9\]\[13\],477.2
regs\[3\]\[15\],475.88
regs\[1\]\[12\],473.23
_0463_,472.88
regs\[0\]\[5\],472.88
_0072_,472.76
regs\[3\]\[3\],472.12
regs\[5\]\[13\],471.86
regs\[1\]\[8\],471.76
regs\[0\]\[0\],471.38
_0403_,469.7
_0101_,467.7
_0061_,467.395
_0419_,467.1
regs\[12\]\[2\],467.09
regs\[1\]\[14\],465.75
regs\[7\]\[6\],465.5
_0084_,464.945
_0398_,464.54
regs\[14\]\[6\],464
_0395_,461.8
_0358_,461.34
_0437_,460.76
_0448_,460.095
data_out[1],460.07
regs\[6\]\[0\],458.2
_0208_,458.075
_0445_,456.81
regs\[6\]\[1\],456.76
regs\[9\]\[1\],456.16
_0089_,455.615
_0156_,452.395
_0075_,452.11
_0435_,452.11
data_out[10],451.15
_0189_,449
regs\[3\]\[14\],448.86
_0420_,447.8
_0177_,447.605
_0025_,447.12
clknet_3_2_0_clk,446.36
_0239_,445.94
_0105_,445.56
_0454_,445.02
_0127_,444.145
data_out[0],442.57
_0038_,440.995
regs\[5\]\[15\],440.7
_0391_,439.15
regs\[8\]\[14\],438.98
_0477_,438.48
_0082_,437.41
regs\[14\]\[15\],436.92
regs\[11\]\[4\],435.38
data_out[14],433.87
regs\[15\]\[7\],432.1
data_out[13],432.09
_0247_,430.365
_0020_,428.8
regs\[12\]\[8\],428.68
_0220_,428.07
_0415_,427.41
regs\[9\]\[4\],427.3
regs\[2\]\[5\],427.21
_0344_,426.98
_0067_,426.825
regs\[14\]\[8\],426.7
regs\[3\]\[6\],426.08
_0033_,425.94
regs\[11\]\[0\],425.6
regs\[10\]\[5\],424.22
regs\[5\]\[0\],423.01
_0181_,422.88
regs\[7\]\[5\],421.62
_0331_,420.24
_0157_,419.625
_0374_,418.38
regs\[5\]\[3\],417.43
_0000_,416.865
regs\[3\]\[4\],416.52
_0315_,415.86
regs\[5\]\[9\],415.32
regs\[15\]\[13\],415.08
_0244_,414.815
regs\[8\]\[15\],412.36
regs\[12\]\[6\],411.01
regs\[4\]\[4\],410.72
regs\[5\]\[7\],409.94
regs\[0\]\[12\],409.04
_0411_,408.9
_0390_,408.61
_0161_,408.54
regs\[13\]\[12\],408.22
regs\[15\]\[10\],408.12
regs\[1\]\[7\],407.96
regs\[8\]\[11\],407.95
regs\[12\]\[5\],406.66
_0388_,405.82
regs\[3\]\[10\],404.36
regs\[10\]\[14\],403.78
regs\[13\]\[1\],403.28
_0124_,403.14
regs\[4\]\[12\],403.08
_0100_,402.475
regs\[4\]\[5\],401.92
_0116_,401.78
_0533_,401.38
_0408_,401.04
_0417_,399.58
_0039_,399.295
regs\[3\]\[11\],397.86
regs\[6\]\[2\],397.74
_0068_,396.615
_0150_,396.235
_0199_,395.895
regs\[8\]\[1\],395.86
_0173_,395.445
regs\[10\]\[0\],394.87
regs\[4\]\[10\],394.53
_0096_,393.905
regs\[15\]\[14\],393.32
_0043_,393.025
_0369_,392.54
_0453_,392.41
_0450_,391.18
_0081_,390.995
_0255_,390.185
regs\[5\]\[1\],389.79
_0429_,389.51
_0047_,389
_0375_,388.76
_0396_,388.46
_0357_,387.26
data_out[6],386.97
regs\[2\]\[15\],385.88
_0149_,385.685
regs\[6\]\[4\],383.76
regs\[1\]\[6\],382.88
_0294_,382.86
_0387_,382.1
regs\[7\]\[1\],382.04
regs\[2\]\[7\],381.96
_0165_,381.945
regs\[11\]\[8\],380.54
_0426_,380.18
regs\[6\]\[10\],380.02
_0238_,378.965
_0446_,378.02
data_out[9],377.95
regs\[14\]\[7\],377.31
regs\[14\]\[3\],376.1
regs\[10\]\[8\],374.5
_0140_,374.325
regs\[2\]\[1\],374.05
_0091_,374.01
_0557_,373.86
regs\[15\]\[15\],373.46
_0136_,371.94
_0423_,370.32
regs\[7\]\[10\],369.98
_0353_,368.675
_0251_,367.665
_0119_,365.595
_0427_,365.23
_0147_,364.305
regs\[0\]\[6\],363.76
_0346_,363.32
_0192_,362.18
_0212_,362.145
_0327_,361.62
regs\[0\]\[8\],360.8
regs\[2\]\[2\],357.86
regs\[13\]\[13\],357.19
_0022_,355.12
_0272_,354.26
_0171_,354.1
_0185_,353.865
_0486_,353.38
_0217_,353.225
regs\[8\]\[12\],352.08
_0330_,351.96
_0444_,351.56
regs\[11\]\[3\],350.935
_0205_,350.905
_0083_,349.105
_0050_,347.905
_0248_,347.76
_0428_,347.56
regs\[0\]\[3\],347.38
_0184_,347.08
_0032_,346.7
regs\[14\]\[14\],346.68
_0163_,346.565
regs\[6\]\[7\],344.38
_0413_,343.1
regs\[6\]\[13\],339.64
regs\[10\]\[11\],339.32
_0252_,338.765
_0458_,338.66
_0332_,337.78
_0178_,337.265
regs\[9\]\[8\],335.44
_0318_,335.42
_0222_,335.345
_0179_,335.33
regs\[7\]\[3\],334.96
_0117_,333.965
_0041_,333.465
_0134_,332.525
_0381_,331.74
_0425_,330.84
regs\[4\]\[7\],330.58
regs\[15\]\[2\],329.22
regs\[0\]\[7\],329.18
_0312_,328.94
regs\[13\]\[11\],328.42
_0442_,328.32
_0447_,327.9
_0335_,327.67
_0392_,327.28
_0143_,325.085
_0024_,324.195
_0457_,322.08
regs\[9\]\[9\],322.04
_0071_,320.645
_0246_,320.625
_0210_,319.325
_0226_,318.365
regs\[9\]\[0\],318.3
_0186_,317.885
_0170_,316.825
_0062_,315.26
_0412_,314.96
_0218_,313.165
regs\[9\]\[7\],311.86
_0035_,310.605
regs\[13\]\[10\],310.4
_0393_,309.32
_0432_,309.32
_0301_,309.14
_0204_,306.425
_0230_,306.325
_0037_,305.485
regs\[8\]\[5\],305.4
_0108_,304.665
regs\[2\]\[11\],304.34
_0142_,303.565
_0249_,301.725
_0404_,301.435
_0009_,301.16
_0430_,301.04
regs\[0\]\[15\],300.58
_0356_,300.5
regs\[5\]\[5\],300.3
_0467_,299.98
_0282_,299.88
_0092_,299.855
regs\[5\]\[8\],299.82
_0095_,299.805
_0125_,298.495
_0215_,298.175
regs\[15\]\[3\],297.8
_0099_,297.505
regs\[1\]\[2\],297.46
regs\[9\]\[11\],296.94
_0094_,296.115
regs\[15\]\[6\],295.42
_0229_,294.36
regs\[12\]\[4\],292.88
regs\[6\]\[15\],290.8
_0449_,290.14
_0351_,290.06
_0180_,289.805
_0046_,289.485
_0077_,289.385
_0014_,288.87
_0013_,287.32
regs\[14\]\[13\],287.32
_0219_,287.045
_0418_,286.98
_0478_,286.98
_0002_,284.825
regs\[2\]\[4\],284.01
_0379_,283.64
regs\[15\]\[8\],283.62
