net,length_um
rst,1252.7
pc_out[0],1117.55
pc_out[4],1109.45
_016_,1100.68
pc_out[7],1086.07
pc_out[10],1049.29
_021_,1026.44
pc_out[1],994.29
_028_,956.69
pc_out[2],923.41
pc_out[12],904.57
_037_,884.86
pc_out[15],860.07
_041_,845.14
_032_,813.54
_047_,808.62
pc_out[13],789.03
pc_out[8],775.67
_031_,729.26
_038_,691.2
pc_out[5],686.87
pc_out[14],684.14
result[6],652.65
_044_,644.24
_018_,628.05
pc_out[3],627.93
pc_out[6],591.51
clknet_1_1__leaf_clk,579.47
clknet_1_0__leaf_clk,578.96
pc_out[11],560.69
result[2],538.87
result[0],522.85
result[4],511.93
_035_,506.16
result[3],501.05
result[1],487.41
result[5],483.63
_029_,477.72
_020_,475.02
_042_,467.6
_019_,462.58
_010_,455.32
_039_,445.3
pc_out[9],445.13
_004_,428.625
clk,414.6
_040_,407.24
_002_,404.285
_036_,397.6
_022_,374.96
_043_,369.72
_033_,347.4
_008_,335.64
_012_,316.72
_007_,314.125
_026_,309.28
_027_,292.66
_009_,283.395
_030_,271.2
_015_,257.94
_013_,255.405
_045_,254.28
_011_,246.36
result[7],213.47
_023_,209.98
clknet_0_clk,184.69
_014_,176.765
_034_,170.7
_000_,157.6
_017_,144.08
_003_,139.315
_001_,128.945
_025_,125.62
_024_,119.16
_006_,113.86
_005_,53.56
_046_,43.035
