net,length_um
_056_,1465.49
u_sevenseg.refresh_count\[5\],1232.28
u_sevenseg.refresh_count\[11\],1177.92
rst,1138.15
u_sevenseg.refresh_count\[4\],1069.52
u_sevenseg.refresh_count\[12\],1061.16
_033_,1035.82
_049_,1016.1
_036_,1010.62
_028_,1006.705
u_sevenseg.refresh_count\[6\],986.88
u_sevenseg.refresh_count\[1\],982.8
_043_,944.195
seg[5],894.07
_005_,880.82
u_sevenseg.refresh_count\[10\],879.12
u_sevenseg.refresh_count\[0\],868.41
_040_,840.43
clknet_1_1__leaf_clk,836.98
u_sevenseg.refresh_count\[2\],832.62
u_sevenseg.refresh_count\[7\],814.44
_044_,755.9
clknet_1_0__leaf_clk,748.4
an[0],746.09
_012_,726.06
_008_,711.24
_031_,691.36
_013_,679.93
u_sevenseg.refresh_count\[9\],679.4
an[1],662.33
u_sevenseg.refresh_count\[8\],650.88
_019_,628.39
_023_,623.98
_002_,581.34
seg[4],579.85
seg[6],550.87
_054_,549.92
_050_,521.54
clk,519.73
_042_,516.27
_004_,504.06
seg[1],478.87
_025_,459.73
_024_,456.03
_048_,449.12
dp,427.81
_055_,424.46
_045_,421.38
_034_,421.26
seg[3],415.65
_014_,408.62
_006_,407.7
_003_,404.86
_021_,402.28
_030_,380.74
_020_,375.78
_046_,373.18
_016_,371.61
_015_,371.51
_038_,371.5
u_sevenseg.refresh_count\[3\],361.72
seg[0],350.27
_032_,342.32
_027_,342.1
_051_,323.04
_041_,318.42
_047_,312.14
_039_,281.32
clknet_0_clk,279.15
_000_,270.44
_037_,256
_001_,252.1
_022_,241.7
_053_,240.04
_018_,232.18
_052_,223.48
_035_,215.68
_029_,192.2
_011_,186.9
seg[2],157.65
_010_,147.28
_017_,145.62
_009_,142.285
_007_,98.7
_026_,69.73
